Year,Average_Departure_Delay,Average_Arrival_Delay
2019,30.944973267414305,30.114347743543576
2020,21.97082385675319,21.9007763354772
2021,28.634239610361824,26.79573102907256
2022,31.294261654172665,29.589928214391378
2023,34.28502846048625,33.370907721614316
