AIRLINE,ORIGIN,DEST,Carrier_Delays,Weather_Delays,NAS_Delays,Security_Delays,Late_Aircraft_Delays,Total_Flights
Hawaiian Airlines Inc.,OGG,HNL,517,41,105,2,522,3577
Hawaiian Airlines Inc.,HNL,OGG,368,27,31,1,221,3496
Alaska Airlines Inc.,SEA,ANC,277,15,353,2,173,2474
Hawaiian Airlines Inc.,HNL,KOA,242,19,10,2,157,2467
Hawaiian Airlines Inc.,LIH,HNL,239,28,75,0,294,2459
Hawaiian Airlines Inc.,KOA,HNL,196,18,46,0,280,2458
Alaska Airlines Inc.,ANC,SEA,137,9,210,2,83,2423
Hawaiian Airlines Inc.,HNL,LIH,255,20,22,3,202,2415
Delta Air Lines Inc.,MCO,ATL,150,26,201,0,198,2378
Delta Air Lines Inc.,ATL,MCO,318,18,215,0,113,2336
Southwest Airlines Co.,HOU,DAL,223,17,178,3,193,2167
Southwest Airlines Co.,DAL,HOU,233,10,134,1,228,2147
American Airlines Inc.,LAX,DFW,238,2,149,3,150,2109
American Airlines Inc.,DFW,LAX,316,45,192,6,204,2093
Hawaiian Airlines Inc.,ITO,HNL,157,22,25,2,196,1980
Southwest Airlines Co.,SAN,SJC,164,0,117,1,260,1953
Delta Air Lines Inc.,ATL,LGA,194,12,195,1,101,1949
Delta Air Lines Inc.,LGA,ATL,195,12,158,3,162,1942
Southwest Airlines Co.,SAN,SMF,155,0,119,1,240,1929
Southwest Airlines Co.,SJC,SAN,184,2,116,2,214,1927
Hawaiian Airlines Inc.,HNL,ITO,212,14,17,0,148,1902
Delta Air Lines Inc.,ATL,FLL,242,15,189,2,109,1898
Delta Air Lines Inc.,FLL,ATL,121,30,148,3,181,1897
Delta Air Lines Inc.,TPA,ATL,87,21,122,1,138,1879
Southwest Airlines Co.,SMF,SAN,173,1,75,1,198,1867
Delta Air Lines Inc.,ATL,TPA,222,21,138,0,105,1856
Southwest Airlines Co.,PHX,DEN,248,8,159,4,241,1817
Delta Air Lines Inc.,LAX,ATL,230,9,145,1,142,1808
Alaska Airlines Inc.,SEA,LAX,134,9,190,2,119,1788
Southwest Airlines Co.,DEN,PHX,319,10,135,1,283,1788
American Airlines Inc.,DFW,AUS,270,46,249,0,238,1771
American Airlines Inc.,DFW,ORD,243,35,177,0,151,1755
Delta Air Lines Inc.,ATL,LAX,243,12,205,0,77,1753
American Airlines Inc.,ORD,DFW,259,54,234,4,139,1736
Alaska Airlines Inc.,LAX,SEA,93,0,182,0,90,1713
Delta Air Lines Inc.,DTW,ATL,134,9,80,2,64,1713
American Airlines Inc.,PHX,DFW,130,8,123,4,126,1703
Delta Air Lines Inc.,ATL,JAX,188,11,76,0,79,1692
Delta Air Lines Inc.,ATL,DTW,195,11,120,0,71,1689
American Airlines Inc.,AUS,DFW,132,23,127,3,167,1685
American Airlines Inc.,DFW,LGA,217,36,192,0,184,1684
American Airlines Inc.,DFW,PHX,281,46,149,0,179,1680
American Airlines Inc.,LGA,DFW,128,35,206,0,140,1678
American Airlines Inc.,MCO,CLT,83,49,130,3,170,1677
American Airlines Inc.,CLT,MCO,222,27,203,3,187,1666
Delta Air Lines Inc.,ATL,BOS,178,8,147,1,87,1664
American Airlines Inc.,DFW,CLT,225,36,129,1,191,1658
Delta Air Lines Inc.,DCA,ATL,82,12,111,0,109,1653
American Airlines Inc.,DFW,MIA,321,31,195,1,134,1650
Republic Airline,LGA,DCA,122,12,180,0,161,1649
Delta Air Lines Inc.,RDU,ATL,93,14,102,0,102,1646
Delta Air Lines Inc.,ATL,MSP,158,9,100,1,57,1644
American Airlines Inc.,SAT,DFW,113,27,135,1,200,1643
American Airlines Inc.,CLT,DFW,176,25,146,2,116,1635
American Airlines Inc.,LAS,DFW,141,6,112,3,160,1632
American Airlines Inc.,DFW,LAS,280,31,205,0,218,1627
JetBlue Airways,BOS,DCA,220,4,165,1,106,1618
Delta Air Lines Inc.,MSP,ATL,107,13,116,1,40,1614
SkyWest Airlines Inc.,LAX,SFO,112,27,34,2,93,1595
Delta Air Lines Inc.,JAX,ATL,59,19,61,0,75,1590
Southwest Airlines Co.,OAK,BUR,145,1,64,2,177,1586
United Air Lines Inc.,IAH,DEN,163,38,178,0,127,1586
American Airlines Inc.,LGA,ORD,115,24,158,0,199,1585
Delta Air Lines Inc.,ATL,RDU,150,12,60,0,61,1577
Delta Air Lines Inc.,BOS,ATL,128,14,123,1,107,1565
American Airlines Inc.,DFW,SAT,240,32,183,1,204,1564
Southwest Airlines Co.,SAN,LAS,146,2,157,1,225,1564
American Airlines Inc.,MIA,DFW,241,23,204,4,110,1562
JetBlue Airways,DCA,BOS,207,8,182,0,180,1556
Republic Airline,DCA,LGA,86,12,240,0,131,1553
Delta Air Lines Inc.,ATL,MIA,212,14,156,3,83,1540
Southwest Airlines Co.,MCO,BWI,186,17,120,3,194,1537
Delta Air Lines Inc.,ATL,DCA,156,9,126,1,87,1535
United Air Lines Inc.,DEN,IAH,183,19,184,0,148,1530
Southwest Airlines Co.,BWI,MCO,236,14,140,2,195,1529
SkyWest Airlines Inc.,SFO,LAX,105,21,16,1,92,1523
Southwest Airlines Co.,BUR,OAK,112,1,55,0,161,1517
Delta Air Lines Inc.,MIA,ATL,92,12,130,0,111,1510
Southwest Airlines Co.,LAS,PHX,247,4,118,1,235,1509
Southwest Airlines Co.,LAS,SAN,234,3,153,2,236,1506
United Air Lines Inc.,IAH,ORD,143,38,114,0,104,1503
Southwest Airlines Co.,DEN,LAS,247,10,154,0,226,1501
American Airlines Inc.,ORD,LGA,207,43,245,2,166,1494
Delta Air Lines Inc.,ATL,PBI,167,15,153,4,100,1494
Delta Air Lines Inc.,PBI,ATL,77,12,89,0,103,1485
Southwest Airlines Co.,PHX,LAS,211,4,119,0,233,1479
United Air Lines Inc.,DEN,ORD,186,22,159,0,149,1478
American Airlines Inc.,DFW,MCO,242,34,185,0,206,1465
Southwest Airlines Co.,SAN,OAK,147,1,116,0,220,1457
United Air Lines Inc.,SFO,ORD,171,5,116,0,100,1454
American Airlines Inc.,CLT,ORD,156,24,162,8,126,1452
United Air Lines Inc.,EWR,SFO,227,22,191,0,125,1451
United Air Lines Inc.,SFO,EWR,211,3,203,0,88,1450
Southwest Airlines Co.,LAS,DEN,208,9,128,1,196,1447
American Airlines Inc.,LGA,CLT,90,15,108,1,110,1440
Southwest Airlines Co.,OAK,SAN,171,2,76,0,172,1437
American Airlines Inc.,DEN,DFW,124,19,151,4,165,1432
United Air Lines Inc.,ORD,DEN,149,22,159,0,119,1427
Alaska Airlines Inc.,SEA,SFO,107,16,207,0,100,1425
American Airlines Inc.,BOS,DCA,102,13,102,0,124,1424
United Air Lines Inc.,ORD,SFO,140,19,187,0,117,1424
American Airlines Inc.,LGA,MIA,150,23,200,0,136,1423
Southwest Airlines Co.,BUR,LAS,126,1,139,0,188,1422
Delta Air Lines Inc.,CHS,ATL,53,3,61,0,59,1420
Southwest Airlines Co.,LAS,BUR,241,2,120,1,246,1417
American Airlines Inc.,DFW,DEN,223,30,167,1,180,1414
American Airlines Inc.,MIA,LGA,176,40,209,7,123,1414
American Airlines Inc.,DCA,DFW,107,13,136,4,103,1412
American Airlines Inc.,DCA,BOS,109,12,139,0,131,1409
United Air Lines Inc.,EWR,ORD,181,15,157,1,146,1405
JetBlue Airways,LAX,JFK,193,2,165,0,127,1404
Republic Airline,BOS,LGA,84,10,144,0,86,1404
American Airlines Inc.,MCO,DFW,120,55,156,1,157,1402
United Air Lines Inc.,EWR,MCO,215,16,201,0,170,1401
Southwest Airlines Co.,SJC,LAS,118,0,101,3,166,1397
Delta Air Lines Inc.,ATL,SLC,173,10,137,0,51,1395
United Air Lines Inc.,MCO,EWR,138,40,225,0,127,1394
Southwest Airlines Co.,LAS,OAK,276,0,114,6,285,1389
Southwest Airlines Co.,SJC,BUR,101,0,45,0,140,1389
United Air Lines Inc.,ORD,IAH,142,15,136,0,113,1389
Delta Air Lines Inc.,ATL,BNA,112,9,71,0,72,1386
Southwest Airlines Co.,LAS,SJC,213,3,108,0,213,1382
Southwest Airlines Co.,DEN,MDW,239,3,91,3,201,1381
American Airlines Inc.,TPA,CLT,94,11,80,2,121,1380
Delta Air Lines Inc.,ATL,EWR,133,13,174,3,60,1377
Delta Air Lines Inc.,SLC,ATL,131,7,118,1,62,1377
Southwest Airlines Co.,DAL,DEN,214,9,136,2,195,1377
Southwest Airlines Co.,LAX,OAK,144,0,59,1,167,1377
American Airlines Inc.,ORD,CLT,137,36,87,0,119,1375
Delta Air Lines Inc.,MSY,ATL,48,12,67,1,75,1370
Republic Airline,LGA,BOS,103,9,105,1,101,1369
United Air Lines Inc.,SFO,IAH,141,0,88,1,64,1364
American Airlines Inc.,CLT,TPA,174,17,132,5,136,1363
Southwest Airlines Co.,OAK,LAX,121,0,55,0,140,1361
American Airlines Inc.,DFW,SAN,239,33,168,2,186,1360
American Airlines Inc.,CLT,BOS,130,13,106,3,127,1359
Delta Air Lines Inc.,ATL,BWI,115,15,60,0,46,1358
United Air Lines Inc.,IAH,SFO,152,23,145,0,101,1357
Delta Air Lines Inc.,EWR,ATL,117,14,108,0,120,1354
JetBlue Airways,JFK,LAX,190,10,184,2,75,1352
Delta Air Lines Inc.,ATL,CHS,139,5,71,0,59,1351
Southwest Airlines Co.,SJC,SNA,104,0,38,0,129,1350
American Airlines Inc.,CLT,LGA,150,9,138,5,112,1348
Southwest Airlines Co.,DEN,DAL,247,4,144,1,199,1347
Southwest Airlines Co.,SAN,PHX,116,3,84,1,171,1347
Alaska Airlines Inc.,SFO,SEA,85,4,165,0,91,1345
American Airlines Inc.,LAX,JFK,134,3,111,3,85,1344
American Airlines Inc.,CLT,PHL,148,13,89,4,107,1342
American Airlines Inc.,JFK,LAX,126,4,149,0,62,1342
Southwest Airlines Co.,LAX,LAS,179,4,139,2,191,1342
United Air Lines Inc.,ORD,EWR,136,20,214,0,107,1342
American Airlines Inc.,PHL,CLT,120,16,99,1,112,1341
Southwest Airlines Co.,OAK,LAS,177,3,128,0,192,1341
Southwest Airlines Co.,BUR,SJC,89,2,58,0,138,1339
Delta Air Lines Inc.,ATL,DFW,157,15,148,1,80,1338
Southwest Airlines Co.,RNO,LAS,91,4,105,1,134,1335
United Air Lines Inc.,IAH,EWR,166,20,221,0,96,1334
Southwest Airlines Co.,MDW,DEN,176,11,110,0,154,1331
United Air Lines Inc.,DEN,SFO,143,13,152,0,118,1327
Delta Air Lines Inc.,BNA,ATL,41,8,62,0,74,1326
American Airlines Inc.,DFW,SNA,161,22,124,1,94,1325
American Airlines Inc.,DFW,DCA,183,30,118,0,129,1321
United Air Lines Inc.,LAX,ORD,108,1,76,0,88,1321
Delta Air Lines Inc.,CLT,ATL,59,6,40,0,67,1317
American Airlines Inc.,SAN,DFW,91,10,79,1,122,1316
United Air Lines Inc.,SFO,DEN,139,4,128,0,106,1314
Delta Air Lines Inc.,BWI,ATL,63,4,85,0,72,1313
American Airlines Inc.,PHL,DFW,152,11,164,0,81,1312
American Airlines Inc.,LAX,ORD,134,1,99,1,83,1309
American Airlines Inc.,MIA,DCA,185,35,135,4,118,1306
Southwest Airlines Co.,PHX,SAN,179,1,65,1,168,1304
United Air Lines Inc.,LAX,EWR,130,3,172,0,77,1304
Southwest Airlines Co.,DAL,AUS,123,5,56,2,139,1302
Southwest Airlines Co.,MCO,MDW,172,20,134,1,162,1301
United Air Lines Inc.,EWR,IAH,170,11,175,1,117,1297
Southwest Airlines Co.,MDW,LAS,223,9,135,0,159,1295
Delta Air Lines Inc.,ATL,MSY,124,10,84,0,57,1294
Delta Air Lines Inc.,ORD,ATL,90,28,127,0,131,1294
Delta Air Lines Inc.,ATL,LAS,145,9,149,1,62,1293
United Air Lines Inc.,IAH,LAX,158,18,111,0,109,1292
Southwest Airlines Co.,LAS,RNO,189,2,66,0,201,1291
Southwest Airlines Co.,MDW,MCO,213,4,121,0,162,1286
Southwest Airlines Co.,LAS,SMF,218,0,68,0,211,1283
United Air Lines Inc.,LAX,IAH,91,2,63,0,59,1282
American Airlines Inc.,SNA,DFW,114,6,98,0,116,1281
Delta Air Lines Inc.,ATL,PHL,123,12,71,0,54,1280
Southwest Airlines Co.,SNA,SJC,122,0,54,1,156,1279
Delta Air Lines Inc.,ATL,SAV,116,22,60,0,59,1278
Southwest Airlines Co.,SAT,DAL,121,2,85,0,143,1277
United Air Lines Inc.,ORD,LAX,148,18,121,0,107,1276
Delta Air Lines Inc.,LAS,ATL,85,6,79,0,78,1275
Southwest Airlines Co.,BWI,FLL,204,5,133,0,148,1275
American Airlines Inc.,CLT,RDU,154,18,85,3,132,1273
Southwest Airlines Co.,FLL,BWI,117,12,87,4,149,1271
American Airlines Inc.,MIA,CLT,159,30,115,4,102,1270
Delta Air Lines Inc.,ATL,MEM,150,11,78,1,63,1270
Southwest Airlines Co.,SMF,LAS,118,1,99,0,178,1270
American Airlines Inc.,ORD,LAX,191,30,139,3,112,1266
Delta Air Lines Inc.,ATL,CLT,115,11,81,0,50,1266
Southwest Airlines Co.,BUR,SMF,77,1,46,0,137,1265
Delta Air Lines Inc.,MEM,ATL,53,10,68,0,68,1264
American Airlines Inc.,BOS,CLT,90,9,81,0,83,1263
Delta Air Lines Inc.,PHL,ATL,51,10,69,0,56,1263
American Airlines Inc.,DCA,MIA,118,10,136,1,104,1262
Delta Air Lines Inc.,SAV,ATL,57,13,58,0,61,1261
United Air Lines Inc.,DEN,EWR,165,16,203,0,108,1259
United Air Lines Inc.,EWR,LAX,236,17,168,0,122,1258
Delta Air Lines Inc.,DFW,ATL,62,22,78,0,109,1255
Delta Air Lines Inc.,JFK,LAX,128,13,175,0,19,1253
Southwest Airlines Co.,LAS,LAX,236,2,142,1,226,1253
Southwest Airlines Co.,SMF,BUR,86,0,53,0,144,1253
American Airlines Inc.,DFW,PHL,204,21,111,0,120,1251
Delta Air Lines Inc.,LAX,JFK,123,3,129,1,72,1251
American Airlines Inc.,DFW,IAH,202,25,174,0,153,1250
Southwest Airlines Co.,AUS,DAL,122,5,99,0,157,1250
Delta Air Lines Inc.,ATL,ORD,138,8,141,0,64,1243
American Airlines Inc.,DFW,SFO,209,48,174,0,196,1241
Delta Air Lines Inc.,ATL,RSW,133,12,100,0,68,1241
Delta Air Lines Inc.,ATL,BHM,105,14,46,0,42,1240
Delta Air Lines Inc.,RSW,ATL,25,4,59,0,47,1236
JetBlue Airways,JFK,MCO,286,10,194,2,165,1233
Delta Air Lines Inc.,ATL,AUS,121,10,84,0,65,1232
Alaska Airlines Inc.,SEA,SAN,78,5,111,3,54,1231
Southwest Airlines Co.,DAL,SAT,166,11,53,1,183,1230
Alaska Airlines Inc.,SAN,SEA,61,6,130,2,83,1228
American Airlines Inc.,CLT,MIA,158,13,108,10,97,1226
Delta Air Lines Inc.,AUS,ATL,57,1,54,0,72,1225
American Airlines Inc.,SFO,DFW,126,6,75,0,118,1223
Alaska Airlines Inc.,PHX,SEA,44,3,126,0,79,1221
Delta Air Lines Inc.,ATL,PNS,89,14,55,0,49,1216
United Air Lines Inc.,SFO,LAX,102,0,71,0,89,1214
Delta Air Lines Inc.,IND,ATL,45,7,83,0,64,1213
Delta Air Lines Inc.,DEN,ATL,109,21,121,0,88,1211
United Air Lines Inc.,DEN,LAX,159,27,130,0,112,1207
American Airlines Inc.,ORD,MIA,173,41,150,1,90,1204
JetBlue Airways,MCO,JFK,287,21,192,7,207,1204
American Airlines Inc.,DFW,ATL,201,32,127,1,160,1203
American Airlines Inc.,CLT,DCA,125,15,110,1,94,1201
American Airlines Inc.,PHX,CLT,79,2,60,4,52,1201
United Air Lines Inc.,EWR,DEN,167,16,140,0,121,1199
United Air Lines Inc.,LAX,DEN,56,2,70,0,62,1198
American Airlines Inc.,BNA,DFW,100,16,116,3,133,1196
American Airlines Inc.,ORD,PHX,171,34,144,0,91,1195
American Airlines Inc.,JFK,MIA,148,13,152,1,79,1192
American Airlines Inc.,MIA,ORD,146,18,111,2,91,1192
Delta Air Lines Inc.,BHM,ATL,45,9,58,0,69,1191
American Airlines Inc.,DCA,CLT,73,13,78,2,74,1189
Delta Air Lines Inc.,ATL,IND,102,7,47,1,44,1189
Southwest Airlines Co.,LAS,MDW,230,4,108,0,175,1189
Southwest Airlines Co.,MDW,PHX,194,11,104,0,137,1185
United Air Lines Inc.,LAX,SFO,76,0,95,0,57,1185
American Airlines Inc.,RDU,CLT,62,8,82,2,101,1179
Republic Airline,LGA,CMH,85,5,100,0,116,1176
American Airlines Inc.,ORD,DCA,148,23,116,2,111,1175
Alaska Airlines Inc.,SEA,LAS,105,15,171,1,90,1174
American Airlines Inc.,MIA,JFK,186,32,149,0,78,1169
American Airlines Inc.,MIA,MCO,149,24,102,3,116,1167
Southwest Airlines Co.,PHX,DAL,192,2,107,1,149,1167
American Airlines Inc.,FLL,CLT,62,18,76,0,103,1166
American Airlines Inc.,IAH,DFW,88,24,110,0,130,1166
American Airlines Inc.,PHX,ORD,108,4,92,2,87,1166
American Airlines Inc.,ORD,PHL,140,29,102,0,102,1165
SkyWest Airlines Inc.,SJC,LAX,53,13,6,0,37,1164
United Air Lines Inc.,LGA,ORD,59,8,141,0,108,1162
American Airlines Inc.,ATL,DFW,118,15,93,4,131,1158
JetBlue Airways,JFK,FLL,265,7,170,2,123,1156
Alaska Airlines Inc.,SEA,PHX,95,2,126,1,72,1153
American Airlines Inc.,CLT,PHX,144,13,98,5,95,1152
Southwest Airlines Co.,HOU,DEN,144,8,103,2,117,1152
Delta Air Lines Inc.,ATL,RIC,108,8,48,0,50,1149
American Airlines Inc.,EWR,CLT,108,11,82,1,121,1146
Delta Air Lines Inc.,SLC,LAX,95,4,91,0,56,1146
American Airlines Inc.,DFW,BNA,173,17,107,0,134,1143
Alaska Airlines Inc.,LAS,SEA,80,11,144,0,74,1142
SkyWest Airlines Inc.,LAX,SJC,59,18,7,0,45,1141
Southwest Airlines Co.,PHX,MDW,196,4,104,2,153,1140
Delta Air Lines Inc.,SEA,ATL,115,9,96,2,44,1139
American Airlines Inc.,SEA,DFW,123,10,96,1,111,1138
Southwest Airlines Co.,BWI,TPA,196,5,101,1,145,1136
American Airlines Inc.,PHL,BOS,94,5,98,0,82,1135
Delta Air Lines Inc.,ATL,DEN,137,9,133,0,65,1135
Delta Air Lines Inc.,ORF,ATL,37,7,36,1,62,1135
American Airlines Inc.,BOS,PHL,76,6,62,2,92,1134
American Airlines Inc.,DFW,TPA,174,22,120,0,155,1131
American Airlines Inc.,MCO,MIA,90,34,100,1,119,1131
Southwest Airlines Co.,TPA,BWI,92,10,58,0,117,1130
Delta Air Lines Inc.,RIC,ATL,52,3,55,0,36,1129
Republic Airline,CMH,LGA,52,6,137,0,50,1129
American Airlines Inc.,CLT,EWR,123,19,174,4,119,1128
Southwest Airlines Co.,DEN,HOU,164,4,100,0,149,1127
Southwest Airlines Co.,DAL,PHX,160,8,65,0,142,1126
United Air Lines Inc.,ORD,LGA,79,17,155,0,108,1124
United Air Lines Inc.,FLL,EWR,89,10,186,0,128,1121
Delta Air Lines Inc.,LAX,SEA,69,1,54,0,47,1119
Delta Air Lines Inc.,PNS,ATL,26,6,47,0,54,1119
Delta Air Lines Inc.,SEA,LAX,78,7,77,0,49,1115
Delta Air Lines Inc.,ATL,ORF,131,8,58,0,55,1112
Southwest Airlines Co.,SNA,LAS,105,4,115,2,152,1111
United Air Lines Inc.,BOS,EWR,68,7,184,0,103,1111
Southwest Airlines Co.,LAX,SJC,106,1,39,1,134,1105
American Airlines Inc.,DCA,ORD,74,6,104,2,88,1104
Delta Air Lines Inc.,JFK,ATL,117,5,93,2,52,1104
United Air Lines Inc.,EWR,BOS,165,14,128,0,172,1104
Delta Air Lines Inc.,ATL,JFK,155,7,118,1,41,1103
American Airlines Inc.,PHL,ORD,82,10,88,0,63,1102
Delta Air Lines Inc.,LAX,SLC,88,5,51,2,68,1102
SkyWest Airlines Inc.,BOI,SEA,57,14,16,0,11,1102
Delta Air Lines Inc.,CMH,ATL,42,7,66,0,48,1101
American Airlines Inc.,CLT,FLL,138,13,103,4,125,1100
American Airlines Inc.,LAX,CLT,117,2,78,2,59,1100
Delta Air Lines Inc.,ATL,IAH,135,12,125,1,59,1099
Alaska Airlines Inc.,SNA,SEA,29,0,107,0,73,1096
Delta Air Lines Inc.,ATL,CLE,137,11,65,0,61,1096
Southwest Airlines Co.,DAL,MDW,184,2,76,2,161,1096
Envoy Air,SGF,DFW,88,34,128,0,75,1095
Southwest Airlines Co.,BOS,BWI,97,7,50,0,123,1095
United Air Lines Inc.,EWR,FLL,172,9,147,0,139,1093
Delta Air Lines Inc.,ATL,MCI,95,11,60,0,41,1092
Alaska Airlines Inc.,SEA,SNA,62,3,105,0,53,1091
American Airlines Inc.,DFW,MSY,191,25,146,2,169,1090
Southwest Airlines Co.,MDW,DAL,159,5,119,0,114,1090
SkyWest Airlines Inc.,ORD,BNA,132,15,64,0,92,1088
SkyWest Airlines Inc.,SEA,BOI,57,16,10,0,29,1086
Delta Air Lines Inc.,SLC,SEA,80,4,57,0,42,1084
JetBlue Airways,FLL,JFK,260,27,156,5,169,1083
Delta Air Lines Inc.,IAH,ATL,91,6,63,1,101,1082
American Airlines Inc.,DFW,SEA,200,24,109,0,118,1081
PSA Airlines Inc.,GSP,CLT,68,6,75,1,89,1080
Delta Air Lines Inc.,SEA,SLC,82,5,57,0,39,1079
Southwest Airlines Co.,OGG,HNL,57,0,77,1,88,1079
American Airlines Inc.,MSY,DFW,81,20,125,0,141,1074
Envoy Air,DFW,SGF,89,24,80,3,81,1074
SkyWest Airlines Inc.,SFO,PSP,70,3,27,0,100,1073
Southwest Airlines Co.,SNA,OAK,127,2,50,2,136,1073
PSA Airlines Inc.,CLT,GSP,81,21,90,1,96,1070
Delta Air Lines Inc.,ATL,CVG,99,10,42,0,29,1069
JetBlue Airways,JFK,BOS,274,9,128,0,126,1067
American Airlines Inc.,LAX,MIA,143,1,108,2,64,1066
Southwest Airlines Co.,BWI,BOS,154,10,74,0,131,1066
Southwest Airlines Co.,OAK,SNA,118,2,43,0,125,1066
Southwest Airlines Co.,LAX,PHX,115,2,63,1,142,1062
Southwest Airlines Co.,HNL,OGG,77,2,52,3,78,1058
Delta Air Lines Inc.,CVG,ATL,55,14,62,0,36,1057
Southwest Airlines Co.,MSY,HOU,109,7,48,2,132,1057
American Airlines Inc.,CLT,LAX,142,15,111,8,80,1055
Delta Air Lines Inc.,ATL,STL,116,4,54,0,47,1054
SkyWest Airlines Inc.,ORD,DTW,116,18,49,0,75,1054
Delta Air Lines Inc.,ATL,SEA,126,10,77,1,35,1052
Southwest Airlines Co.,PHX,SNA,128,1,53,0,125,1051
Delta Air Lines Inc.,ATL,CMH,95,7,36,0,36,1049
Southwest Airlines Co.,LAS,SNA,158,1,88,0,162,1049
Envoy Air,DFW,XNA,78,25,85,1,76,1044
Delta Air Lines Inc.,MCI,ATL,40,7,61,0,48,1041
Southwest Airlines Co.,HOU,MSY,115,7,37,0,98,1040
Delta Air Lines Inc.,ATL,PIT,103,7,42,1,54,1039
Southwest Airlines Co.,MSY,DAL,120,5,93,0,149,1038
American Airlines Inc.,MIA,LAX,224,32,174,6,87,1035
Delta Air Lines Inc.,GSP,ATL,20,0,36,0,38,1034
Delta Air Lines Inc.,DTW,MSP,63,7,48,0,30,1032
SkyWest Airlines Inc.,BNA,ORD,102,8,69,2,42,1032
Southwest Airlines Co.,SMF,SNA,104,0,55,2,106,1032
Delta Air Lines Inc.,ATL,SAT,104,7,74,0,64,1031
Southwest Airlines Co.,PHX,LAX,165,4,63,0,132,1031
Delta Air Lines Inc.,ATL,SDF,82,7,49,0,30,1028
Delta Air Lines Inc.,LGA,ORD,126,5,152,0,90,1028
Southwest Airlines Co.,SJC,LAX,69,1,44,0,118,1024
Delta Air Lines Inc.,MSP,LAX,72,5,98,0,37,1023
American Airlines Inc.,DFW,BOS,153,20,98,0,118,1021
Delta Air Lines Inc.,CLE,ATL,63,2,54,0,56,1020
American Airlines Inc.,BOS,DFW,81,17,116,0,53,1017
Delta Air Lines Inc.,SDF,ATL,39,6,63,0,36,1016
American Airlines Inc.,BWI,CLT,63,10,62,1,69,1012
SkyWest Airlines Inc.,SMF,LAX,60,15,11,2,39,1012
American Airlines Inc.,TUS,DFW,72,9,70,0,97,1011
Envoy Air,XNA,DFW,62,34,101,0,68,1011
Delta Air Lines Inc.,MCO,DTW,76,24,98,1,95,1010
Southwest Airlines Co.,DEN,SLC,210,5,77,0,173,1006
American Airlines Inc.,MCO,PHL,82,32,86,0,114,1005
American Airlines Inc.,TPA,DFW,86,15,86,0,98,1005
Delta Air Lines Inc.,STL,ATL,45,10,46,0,58,1004
Southwest Airlines Co.,LAS,DAL,181,3,111,1,154,1004
SkyWest Airlines Inc.,DEN,ASE,136,32,51,1,98,1002
SkyWest Airlines Inc.,LAX,SMF,76,21,6,1,37,1000
Delta Air Lines Inc.,ATL,GSP,87,7,36,0,44,998
Delta Air Lines Inc.,ORD,LGA,60,16,156,0,88,998
SkyWest Airlines Inc.,ASE,DEN,102,24,58,0,92,996
SkyWest Airlines Inc.,SFO,SNA,75,2,13,0,65,995
JetBlue Airways,BOS,JFK,170,7,138,2,75,994
American Airlines Inc.,MIA,PHL,153,17,107,3,84,993
Southwest Airlines Co.,AUS,DEN,108,7,89,3,121,989
American Airlines Inc.,DFW,TUS,186,21,115,0,136,985
SkyWest Airlines Inc.,PSP,SFO,70,5,63,0,35,985
SkyWest Airlines Inc.,SNA,SFO,43,1,47,0,65,984
Southwest Airlines Co.,MDW,MCI,132,4,50,1,109,984
American Airlines Inc.,PHL,MCO,105,5,120,3,70,983
United Air Lines Inc.,TPA,EWR,60,11,149,0,77,983
United Air Lines Inc.,IAH,MCO,105,15,91,0,74,980
Delta Air Lines Inc.,LAS,MSP,42,2,56,0,52,979
SkyWest Airlines Inc.,PDX,SEA,44,14,15,0,13,978
United Air Lines Inc.,LAS,SFO,57,3,128,1,66,978
Delta Air Lines Inc.,LAX,MSP,80,1,69,0,51,976
SkyWest Airlines Inc.,DTW,ORD,95,8,62,0,49,976
Southwest Airlines Co.,DAL,MSY,150,6,69,1,152,976
Southwest Airlines Co.,LAX,SMF,90,0,27,0,105,976
Southwest Airlines Co.,SNA,PHX,137,1,58,0,143,976
Delta Air Lines Inc.,SFO,ATL,63,1,63,0,45,975
Delta Air Lines Inc.,MSP,DTW,77,5,75,0,32,974
American Airlines Inc.,SLC,DFW,95,8,94,1,103,971
Delta Air Lines Inc.,ATL,SRQ,98,7,80,1,58,971
American Airlines Inc.,DCA,LGA,88,4,137,0,104,970
United Air Lines Inc.,EWR,MIA,165,17,163,1,126,970
United Air Lines Inc.,PBI,EWR,84,4,151,0,105,970
Southwest Airlines Co.,SAN,DEN,90,4,63,0,116,969
Southwest Airlines Co.,SMF,LAX,62,0,34,0,107,969
Delta Air Lines Inc.,GSO,ATL,31,4,29,0,34,968
United Air Lines Inc.,IAD,DEN,79,11,83,0,52,968
Delta Air Lines Inc.,ATL,PHX,122,7,103,0,50,966
Southwest Airlines Co.,BNA,MDW,92,3,47,1,113,966
American Airlines Inc.,LGA,DCA,60,9,78,0,108,965
JetBlue Airways,LGA,BOS,125,3,83,0,124,964
United Air Lines Inc.,EWR,PBI,166,8,152,0,127,964
Delta Air Lines Inc.,PHX,ATL,60,5,44,0,33,963
Delta Air Lines Inc.,ATL,GSO,74,4,33,0,42,962
Southwest Airlines Co.,SLC,DEN,108,5,108,0,151,959
Republic Airline,LGA,PIT,49,11,70,0,95,958
Southwest Airlines Co.,MDW,BWI,135,6,66,1,106,957
United Air Lines Inc.,SFO,LAS,79,0,109,0,84,957
Southwest Airlines Co.,SNA,SMF,120,0,60,1,133,955
