UNIQUE_CARRIER,AIRLINE,Average_Departure_Delay,Average_Arrival_Delay
20409,JetBlue Airways,18.322555104566717,12.276124516889453
20436,Frontier Airlines Inc.,16.03357413359641,11.100428951858525
20368,Allegiant Air,13.907796771695754,13.284601127961896
20416,Spirit Air Lines,12.981880063789026,8.029484978540772
20366,ExpressJet Airlines LLC d/b/a aha!,12.774461948080763,10.03197593448833
19805,American Airlines Inc.,12.609895258577868,6.661228711969786
20378,Mesa Airlines Inc.,12.277382509651277,7.3098100100837105
19977,United Air Lines Inc.,11.217032073646134,5.035985016312885
19393,Southwest Airlines Co.,10.81695730607336,3.2697955813330117
20304,SkyWest Airlines Inc.,9.458294288612626,4.023311421969874
19790,Delta Air Lines Inc.,8.106747590146377,1.0850788339017954
20397,PSA Airlines Inc.,7.972124328384077,3.9286549481557356
20398,Envoy Air,6.728256254352146,3.2789143480632843
20363,Endeavor Air Inc.,5.951134919193754,-1.2585390721724565
20452,Republic Airline,5.8043589614099895,0.5901756824252427
19690,Hawaiian Airlines Inc.,5.089536716041601,3.8947567669884537
19687,Horizon Air,4.832774600670479,2.3762415377773385
19930,Alaska Airlines Inc.,4.640017847002515,1.0979001770199606
